Model,Threshold,F1_val
Logistic Regression,0.826682151090359,0.5460028381720876
Random Forest,0.8099662007380047,0.5494740394405355
XGBoost,0.8183206915855408,0.5500055996825829
Ensemble,0.8083732993104056,0.5492886464114147
